Sample,Group,Percent of sample -- B cells,Percent of sample -- CD4 T cells,Percent of sample -- CD8 T cells,Percent of sample -- Eosinophils,Percent of sample -- gd T cells,Percent of sample -- Monocytes,Percent of sample -- Neutrophils,Percent of sample -- NK cells,Percent of sample -- Unknown,MFI of CD38_asinh -- B cells,MFI of CD38_asinh -- CD4 T cells,MFI of CD38_asinh -- CD8 T cells,MFI of CD38_asinh -- Eosinophils,MFI of CD38_asinh -- gd T cells,MFI of CD38_asinh -- Monocytes,MFI of CD38_asinh -- Neutrophils,MFI of CD38_asinh -- NK cells,MFI of CD38_asinh -- Unknown,MFI of HLA-DR_asinh -- B cells,MFI of HLA-DR_asinh -- CD4 T cells,MFI of HLA-DR_asinh -- CD8 T cells,MFI of HLA-DR_asinh -- Eosinophils,MFI of HLA-DR_asinh -- gd T cells,MFI of HLA-DR_asinh -- Monocytes,MFI of HLA-DR_asinh -- Neutrophils,MFI of HLA-DR_asinh -- NK cells,MFI of HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh -- B cells,Percent expressing CD38_asinh -- CD4 T cells,Percent expressing CD38_asinh -- CD8 T cells,Percent expressing CD38_asinh -- Eosinophils,Percent expressing CD38_asinh -- gd T cells,Percent expressing CD38_asinh -- Monocytes,Percent expressing CD38_asinh -- Neutrophils,Percent expressing CD38_asinh -- NK cells,Percent expressing CD38_asinh -- Unknown,Percent expressing HLA-DR_asinh -- B cells,Percent expressing HLA-DR_asinh -- CD4 T cells,Percent expressing HLA-DR_asinh -- CD8 T cells,Percent expressing HLA-DR_asinh -- Eosinophils,Percent expressing HLA-DR_asinh -- gd T cells,Percent expressing HLA-DR_asinh -- Monocytes,Percent expressing HLA-DR_asinh -- Neutrophils,Percent expressing HLA-DR_asinh -- NK cells,Percent expressing HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh and HLA-DR_asinh -- B cells,Percent expressing CD38_asinh and HLA-DR_asinh -- CD4 T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- CD8 T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Eosinophils,Percent expressing CD38_asinh and HLA-DR_asinh -- gd T cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Monocytes,Percent expressing CD38_asinh and HLA-DR_asinh -- Neutrophils,Percent expressing CD38_asinh and HLA-DR_asinh -- NK cells,Percent expressing CD38_asinh and HLA-DR_asinh -- Unknown,Percent expressing CD38_asinh or HLA-DR_asinh -- B cells,Percent expressing CD38_asinh or HLA-DR_asinh -- CD4 T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- CD8 T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Eosinophils,Percent expressing CD38_asinh or HLA-DR_asinh -- gd T cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Monocytes,Percent expressing CD38_asinh or HLA-DR_asinh -- Neutrophils,Percent expressing CD38_asinh or HLA-DR_asinh -- NK cells,Percent expressing CD38_asinh or HLA-DR_asinh -- Unknown
Healthy_01,Healthy,3.89408099688473,15.2647975077882,10.5919003115265,2.9595015576324,1.86915887850467,3.73831775700935,53.4267912772586,7.63239875389408,0.623052959501558,0.43216032774248,0.190356652830561,0.0692264446391914,0.0673209667100148,0.041435555299833,0.370770871346929,0.105068287445278,0.594392828621652,0.0956515476281249,3.19085793200658,0.853958075971361,0.529584007108536,0.462728357841626,0.293431577050036,1.99555187034463,0.211915110485954,0.353407467447376,0.39233869213055,8,1.02040816326531,0,0,0,0,0,20.4081632653061,0,100,3.06122448979592,1.47058823529412,0,0,95.8333333333333,0,0,0,8,0,0,0,0,0,0,0,0,100,4.08163265306122,1.47058823529412,0,0,95.8333333333333,0,20.4081632653061,0
Healthy_02,Healthy,4.36893203883495,14.2394822006472,11.0032362459547,3.55987055016181,2.58899676375405,3.55987055016181,52.588996763754,6.957928802589,1.13268608414239,0.443594082921204,0.252035404725425,0.0911257351555102,0.0658108424076145,0.0374826151517239,0.3952132768268,0.0859220018608951,0.638349470729283,0.101031596146727,3.24756981185068,0.930495096511457,0.550772180738962,0.529374743492432,0.299391372267971,1.93635762871845,0.204775719321501,0.377832453296672,0.317996791137279,7.40740740740741,10.2272727272727,0,0,0,0,0.307692307692308,32.5581395348837,0,96.2962962962963,4.54545454545455,0,0,0,86.3636363636364,0,0,14.2857142857143,7.40740740740741,3.40909090909091,0,0,0,0,0,0,0,96.2962962962963,11.3636363636364,0,0,0,86.3636363636364,0.307692307692308,32.5581395348837,14.2857142857143
Healthy_03,Healthy,3.1986531986532,14.983164983165,11.6161616161616,3.7037037037037,2.18855218855219,6.06060606060606,48.8215488215488,9.42760942760943,,0.452405807960275,0.229826957406247,0.088217887803652,0.0634027991820874,0.0289758743253493,0.375739546714465,0.0886413289748403,0.592748800339652,,3.23267411334187,0.838951683001289,0.569576616599377,0.810880678126432,0.310563101414227,1.9166381042356,0.190225663679196,0.378630527773455,,10.5263157894737,7.86516853932584,0,0,0,5.55555555555556,0,33.9285714285714,,94.7368421052632,3.37078651685393,2.89855072463768,0,0,77.7777777777778,0,1.78571428571429,,10.5263157894737,1.12359550561798,0,0,0,0,0,0,,94.7368421052632,10.1123595505618,2.89855072463768,0,0,83.3333333333333,0,35.7142857142857,
Healthy_04,Healthy,4.61538461538462,16.9230769230769,13.6752136752137,3.24786324786325,3.07692307692308,5.12820512820513,44.7863247863248,8.37606837606837,0.170940170940171,0.51445106977998,0.163069175759998,0.114631706658304,0.0709377055636361,0.0147965669869769,0.391841054143633,0.102581646660698,0.591889346952542,0.0603397386578976,3.399027690574,0.859240238382988,0.568570888416651,0.56912307993051,0.290970912091223,2.15720020326023,0.201582405603047,0.377565705715636,0.18987499911034,14.8148148148148,1.01010101010101,0,0,0,0,0,20.4081632653061,0,92.5925925925926,2.02020202020202,1.25,0,0,100,0,0,0,7.40740740740741,0,0,0,0,0,0,0,0,100,3.03030303030303,1.25,0,0,100,0,20.4081632653061,0
Healthy_05,Healthy,5.22979397781299,13.3122028526149,9.98415213946117,3.16957210776545,2.21870047543582,4.12044374009509,53.0903328050713,8.71632329635499,0.158478605388273,0.466712696244695,0.170958344842131,0.103207472133838,0.0657988535307579,0.0273178320806899,0.385495080074077,0.105270944148131,0.5936410209695,0.14244066147486,3.2488737131935,0.859182965953539,0.612595930473423,0.607976891540357,0.280537934267243,1.86549233597884,0.208203086312018,0.323088125879956,0.753054917309797,3.03030303030303,0,1.58730158730159,0,0,0,0,16.3636363636364,0,100,0,0,0,0,80.7692307692308,0,0,0,3.03030303030303,0,0,0,0,0,0,0,0,100,0,1.58730158730159,0,0,80.7692307692308,0,16.3636363636364,0
Healthy_06,Healthy,4.32692307692308,16.5064102564103,12.3397435897436,3.68589743589744,2.56410256410256,3.2051282051282,46.3141025641026,10.5769230769231,0.480769230769231,0.521649597247395,0.223478735043745,0.0905349895320419,0.0723578777420411,0.0227039206844515,0.472802814382604,0.0699034718115947,0.592812331418146,0.0782066310368949,3.44427656079788,0.914925933594375,0.448824274701221,0.671331315118473,0.282478187434757,2.1695552344805,0.209571365027469,0.399257816842162,0.20463698470317,7.40740740740741,8.7378640776699,2.5974025974026,0,0,10,0,34.8484848484849,0,100,5.8252427184466,3.8961038961039,0,0,90,0,3.03030303030303,0,7.40740740740741,2.9126213592233,2.5974025974026,0,0,0,0,1.51515151515152,0,100,11.6504854368932,3.8961038961039,0,0,100,0,36.3636363636364,0
Healthy_07,Healthy,3.21100917431193,15.9021406727829,11.0091743119266,3.36391437308868,2.44648318042813,5.5045871559633,48.7767584097859,9.48012232415902,0.305810397553517,0.480943295080268,0.285249906994235,0.0874481433966817,0.0703214271325923,0.0480320450356935,0.391125363585593,0.0773588166786146,0.629257976758405,0.356464527530309,3.45948076849551,0.946709924927935,0.494243524644311,0.67837319695872,0.265179337647048,1.94479674506401,0.183490411250449,0.352832259717519,0.210081575504399,19.047619047619,12.5,0,0,0,0,0,33.8709677419355,0,100,4.80769230769231,0,0,6.25,86.1111111111111,0,1.61290322580645,0,19.047619047619,2.88461538461538,0,0,0,0,0,0,0,100,14.4230769230769,0,0,6.25,86.1111111111111,0,35.4838709677419,0
Healthy_08,Healthy,2.91411042944785,15.3374233128834,12.1165644171779,3.52760736196319,1.68711656441718,4.75460122699387,49.6932515337423,9.66257668711656,0.306748466257669,0.49736357590499,0.224377385378536,0.0968638834077511,0.0557939636728883,0.0214586795547264,0.417913771370489,0.0925585579442227,0.69345312158398,0.266762419580112,3.1580086700821,0.906836100906168,0.584752801035319,0.68840738563643,0.288116649182437,1.97939520523319,0.202970645531619,0.326870336429833,1.83382515207066,15.7894736842105,9,0,0,0,0,0,41.2698412698413,0,100,5,0,0,0,90.3225806451613,0,0,50,15.7894736842105,4,0,0,0,0,0,0,0,100,10,0,0,0,90.3225806451613,0,41.2698412698413,50
COVID-Mild_01,COVID-Mild,3.42679127725857,15.5763239875389,12.6168224299065,2.64797507788162,1.55763239875389,9.03426791277258,44.2367601246106,10.1246105919003,0.778816199376947,0.443622041917956,0.126864818341984,0.0563879134443416,0.0725361751231774,0.0046118454019868,0.367332918262933,0.0850684607766803,0.697533394823703,0.342981805571481,3.11199824797109,0.893516598724709,0.25717570491601,0.660658616282391,0.195181602379107,1.87125132068217,0.174781447985491,0.303338634189931,2.81756634097496,31.8181818181818,4,11.1111111111111,0,0,0,0,46.1538461538462,40,95.4545454545455,4,13.5802469135802,0,0,77.5862068965517,0.352112676056338,0,60,27.2727272727273,1,6.17283950617284,0,0,0,0,0,20,100,7,18.5185185185185,0,0,77.5862068965517,0.352112676056338,46.1538461538462,80
COVID-Mild_02,COVID-Mild,3.94736842105263,11.8421052631579,11.8421052631579,2.79605263157895,1.48026315789474,8.71710526315789,47.203947368421,11.6776315789474,0.493421052631579,0.427340150404296,0.162382858945308,0.0545329731503566,0.0625193038312358,0.0528553738884423,0.436935044711121,0.0815734766788131,0.795993438013727,0.0551362472872178,3.25979683072396,0.973214360525751,0.369635470951949,0.783954346048605,0.159345842565207,2.05693863081698,0.187844661278208,0.341715600068745,0.210521911132345,12.5,5.55555555555556,1.38888888888889,0,0,0,0,52.112676056338,0,100,5.55555555555556,6.94444444444444,5.88235294117647,0,88.6792452830189,0.696864111498258,0,0,12.5,4.16666666666667,1.38888888888889,0,0,0,0,0,0,100,6.94444444444444,6.94444444444444,5.88235294117647,0,88.6792452830189,0.696864111498258,52.112676056338,0
COVID-Mild_03,COVID-Mild,3.01507537688442,12.5628140703518,10.7202680067002,2.34505862646566,1.84254606365159,10.7202680067002,49.2462311557789,8.87772194304858,0.670016750418761,0.345160299863275,0.138783057965918,0.0520584698473123,0.0570468560626684,0.0370344611778696,0.359440672220825,0.0856791217527464,0.354585518314264,0.173463315437352,2.99322110725345,0.928531002505865,0.240323841358266,0.747555454671541,0.438412753558473,2.00142369249617,0.172322591455666,0.181533957097311,0.366310275911284,27.7777777777778,4,6.25,0,0,0,0,28.3018867924528,0,88.8888888888889,6.66666666666667,4.6875,0,0,82.8125,0,0,0,22.2222222222222,2.66666666666667,1.5625,0,0,0,0,0,0,94.4444444444444,8,9.375,0,0,82.8125,0,28.3018867924528,0
COVID-Mild_04,COVID-Mild,3.06122448979592,13.4353741496599,11.734693877551,1.53061224489796,2.04081632653061,9.01360544217687,48.2993197278912,10.0340136054422,0.850340136054422,0.538938789565367,0.158749472567741,0.067465739665409,0.0694156743032933,0.0226082172996751,0.362572380953795,0.0863318848540792,0.619656133217808,0.0874947950102988,3.24023448158822,1.00677416951173,0.386269975126253,0.717369475840241,0.311832837084824,2.1621400644906,0.19445665647239,0.281632338908677,0.265231840937318,33.3333333333333,2.53164556962025,7.2463768115942,0,0,0,0,35.5932203389831,0,100,5.06329113924051,15.9420289855072,0,0,94.3396226415094,0.704225352112676,0,20,33.3333333333333,1.26582278481013,5.79710144927536,0,0,0,0,0,0,100,6.32911392405063,17.3913043478261,0,0,94.3396226415094,0.704225352112676,35.5932203389831,20
COVID-Mild_05,COVID-Mild,5.21327014218009,12.9541864139021,12.9541864139021,2.52764612954186,2.3696682464455,6.95102685624013,44.0758293838863,12.7962085308057,0.157977883096367,0.478025345857187,0.164146043656513,0.0378503498945273,0.0675361711018278,-0.0040071220075473,0.376390222964063,0.0837971581437039,0.71057726530735,0.219088731595549,3.15025280656285,0.975285407123389,0.335080525192183,0.77786227376233,0.204499299081577,1.99490137702151,0.192710918656365,0.353960284021917,0.984255166189795,24.2424242424242,4.8780487804878,4.8780487804878,0,0,4.54545454545455,0,48.1481481481481,0,100,9.75609756097561,12.1951219512195,0,6.66666666666667,90.9090909090909,0.3584229390681,0,0,24.2424242424242,3.65853658536585,3.65853658536585,0,0,2.27272727272727,0,0,0,100,10.9756097560976,13.4146341463415,0,6.66666666666667,93.1818181818182,0.3584229390681,48.1481481481481,0
COVID-Mild_06,COVID-Mild,4.82315112540193,14.4694533762058,10.4501607717042,1.60771704180064,2.2508038585209,8.84244372990354,47.1061093247588,9.96784565916399,0.482315112540193,0.490812604640969,0.178497631020274,0.0740951097006708,0.0707005407852604,0.0234827701786991,0.351501648772793,0.0899117459396807,0.515598397701434,0.0689733255066104,3.29712929372818,0.878608538829522,0.351179211857463,0.747987043724982,0.182538706996257,2.07745514024834,0.199124519674182,0.282671092352754,0.305065334502935,20,5.55555555555556,3.07692307692308,0,0,0,0,30.6451612903226,0,100,4.44444444444444,16.9230769230769,0,0,92.7272727272727,0.341296928327645,0,0,20,1.11111111111111,3.07692307692308,0,0,0,0,0,0,100,8.88888888888889,16.9230769230769,0,0,92.7272727272727,0.341296928327645,30.6451612903226,0
COVID-Mild_07,COVID-Mild,4.17310664605873,12.3647604327666,12.8284389489954,2.78207109737249,1.54559505409583,9.11901081916538,46.676970633694,10.0463678516229,0.463678516228748,0.512546393790595,0.1545493407189,0.0514069024451714,0.0556619998961794,0.0281766002437147,0.391874789668499,0.0790073325197879,0.827296727414278,0.056224095130812,3.07425140110466,0.879057877667007,0.280911842686847,0.728064652660739,0.314792491388543,1.95706760894314,0.180851453880258,0.321612804766565,0.190019795955845,22.2222222222222,6.25,3.6144578313253,0,0,3.38983050847458,0,56.9230769230769,0,100,10,14.4578313253012,5.55555555555556,0,81.3559322033898,0.662251655629139,0,0,22.2222222222222,2.5,2.40963855421687,0,0,1.69491525423729,0,0,0,100,13.75,15.6626506024096,5.55555555555556,0,83.0508474576271,0.662251655629139,56.9230769230769,0
